,Year,Region,Race_or_Ethnicity,Sex,Age_Group,Opioid_Poisoning_Deaths,total
1194,2008,NYC,Black Non Hispanic,F,20-24,1,27717
1195,2008,NYC,Black Non Hispanic,F,55-64,2,27717
1196,2008,NYC,Black Non Hispanic,F,35-44,6,27717
1197,2008,NYC,Black Non Hispanic,F,45-54,14,27717
1205,2008,NYC,Black Non Hispanic,M,20-24,1,27717
1206,2008,NYC,Black Non Hispanic,M,19-Oct,2,27717
1207,2008,NYC,Black Non Hispanic,M,35-44,4,27717
1208,2008,NYC,Black Non Hispanic,M,55-64,12,27717
1209,2008,NYC,Black Non Hispanic,M,45-54,26,27717
1214,2008,NYC,Hispanic,F,9-Jan,1,27717
1215,2008,NYC,Hispanic,F,19-Oct,1,27717
1216,2008,NYC,Hispanic,F,20-24,1,27717
1217,2008,NYC,Hispanic,F,25-34,1,27717
1218,2008,NYC,Hispanic,F,65-74,1,27717
1219,2008,NYC,Hispanic,F,55-64,4,27717
1220,2008,NYC,Hispanic,F,35-44,8,27717
1221,2008,NYC,Hispanic,F,45-54,9,27717
1227,2008,NYC,Hispanic,M,65-74,1,27717
1228,2008,NYC,Hispanic,M,19-Oct,3,27717
1229,2008,NYC,Hispanic,M,20-24,4,27717
1230,2008,NYC,Hispanic,M,55-64,15,27717
1231,2008,NYC,Hispanic,M,25-34,23,27717
1232,2008,NYC,Hispanic,M,35-44,37,27717
1233,2008,NYC,Hispanic,M,45-54,43,27717
1254,2008,NYC,Not Stated,M,45-54,1,27717
1255,2008,NYC,Not Stated,M,55-64,1,27717
1266,2008,NYC,Other Non Hispanic,F,20-24,1,27717
1267,2008,NYC,Other Non Hispanic,F,35-44,1,27717
1278,2008,NYC,Other Non Hispanic,M,25-34,1,27717
1279,2008,NYC,Other Non Hispanic,M,35-44,1,27717
1286,2008,NYC,White Non Hispanic,F,20-24,2,27717
1287,2008,NYC,White Non Hispanic,F,65-74,3,27717
1288,2008,NYC,White Non Hispanic,F,25-34,10,27717
1289,2008,NYC,White Non Hispanic,F,55-64,10,27717
1290,2008,NYC,White Non Hispanic,F,35-44,13,27717
1291,2008,NYC,White Non Hispanic,F,45-54,26,27717
1296,2008,NYC,White Non Hispanic,M,65-74,1,27717
1297,2008,NYC,White Non Hispanic,M,75-84,1,27717
1298,2008,NYC,White Non Hispanic,M,19-Oct,4,27717
1299,2008,NYC,White Non Hispanic,M,20-24,8,27717
1300,2008,NYC,White Non Hispanic,M,55-64,20,27717
1301,2008,NYC,White Non Hispanic,M,35-44,34,27717
1302,2008,NYC,White Non Hispanic,M,45-54,41,27717
1303,2008,NYC,White Non Hispanic,M,25-34,43,27717
1312,2008,ROS,Black Non Hispanic,F,25-34,1,27717
1313,2008,ROS,Black Non Hispanic,F,55-64,1,27717
1314,2008,ROS,Black Non Hispanic,F,45-54,4,27717
1315,2008,ROS,Black Non Hispanic,F,35-44,5,27717
1321,2008,ROS,Black Non Hispanic,M,65-74,1,27717
1322,2008,ROS,Black Non Hispanic,M,75-84,1,27717
1323,2008,ROS,Black Non Hispanic,M,19-Oct,2,27717
1324,2008,ROS,Black Non Hispanic,M,20-24,2,27717
1325,2008,ROS,Black Non Hispanic,M,55-64,6,27717
1326,2008,ROS,Black Non Hispanic,M,35-44,8,27717
1327,2008,ROS,Black Non Hispanic,M,45-54,8,27717
1336,2008,ROS,Hispanic,F,20-24,1,27717
1337,2008,ROS,Hispanic,F,25-34,1,27717
1338,2008,ROS,Hispanic,F,45-54,1,27717
1339,2008,ROS,Hispanic,F,35-44,6,27717
1348,2008,ROS,Hispanic,M,25-34,2,27717
1349,2008,ROS,Hispanic,M,55-64,4,27717
1350,2008,ROS,Hispanic,M,35-44,6,27717
1351,2008,ROS,Hispanic,M,45-54,6,27717
1362,2008,ROS,Not Stated,F,35-44,1,27717
1372,2008,ROS,Not Stated,M,35-44,1,27717
1373,2008,ROS,Not Stated,M,55-64,1,27717
1396,2008,ROS,Other Non Hispanic,M,25-34,1,27717
1397,2008,ROS,Other Non Hispanic,M,20-24,2,27717
1400,2008,ROS,White Non Hispanic,F,9-Jan,1,27717
1401,2008,ROS,White Non Hispanic,F,85+,1,27717
1402,2008,ROS,White Non Hispanic,F,75-84,3,27717
1403,2008,ROS,White Non Hispanic,F,65-74,4,27717
1404,2008,ROS,White Non Hispanic,F,20-24,10,27717
